Item Number,Manufacturer P/N,Manufacturer Name,Part Type,Value (Text),Description,Quantity,Designator
1,PCB-RB0101,RYSE Inc.,PCB Bare,"",Button bare PCB,1,""
2,BLE-0101,RYSE Inc.,*SKU* - Top Level **Edit Auto Gen PN**,"",BLE module,1,U1
3,FC-135 32.7680KA-A5,EPSON,Crystal,32.7680k,CRYSTAL 32.7680 KHZ 12.5PF SMD,1,X3
4,112TR,Keystone Electronics,Connector,"",BATT CONTACT SPRING MULTIPLE SMD,1,J1
5,122TR,Keystone Electronics,Connector,"",BATT CONTACT SOLID MULTIPLE SMD,1,J3
6,BSS123WQ-7-F,Diodes Incorporated,FET,"",MOSFET N-CH 100V 170mA SOT323,2,"Q8,Q30"
7,"SSM3J377R,LF",Toshiba Semiconductor and Storage,FET,"",MOSFET P-CH 20V 3.9A SOT23F,1,Q19
8,GCJ188R71E104KA12D,Murata Electronics North America,Capacitor,0.1u,CAP 0.1uF 25V 10% X7R 0603,1,C21
9,CC0603JRNPO9BN120,Yageo,Capacitor,12p,CAP CER 12pF 50V C0G/NP0 0603,2,C22-23
10,GCM31CR71C106KA64L,Murata Electronics North America,Capacitor,10u,CAP 10uF 16V X7R 1206,1,C20
11,CL31A107MQHNNNE,Samsung Electro-Mechanics,Capacitor,100u,CAP 100uF 6.3V 20% X5R 1206,1,C3
12,ESD5Z3V3,Diotec Semiconductor,Diode,"",TVS DIODE 3.3VWM 8.4VC SOD523,4,"D1-3,D5"
13,EVQ-P2602M,Panasonic Electronic Components,Button,"",SWITCH TACTILE SPST-NO 0.02A 15V,2,"S1,S3"
14,EVQ-P2D02Q,Panasonic Electronic Components,Button,"",SWITCH TACTILE SPST-NO 0.02A 15V,1,S2
15,LTST-C171KGKT,Lite-On Inc.,LED,"",LTST-C171KGKT,1,D7
16,LTST-C171KRKT,Lite-On Inc.,LED,"",LED RED CLEAR SMD,1,D6
17,MPZ1608S331ATA00,TDK Corporation,Bead,"",FERRITE BEAD 330 OHM 0603 1LN,1,B1
18,RC0603JR-070RL,Yageo,Resistor,0,RES 0R 0603,1,R12
19,RC0603FR-07100KL,Yageo,Resistor,100k,RES 100K 1% 1/10W 0603,3,"R3-4,R10"
20,RC0603FR-07100RL,Yageo,Resistor,100,RES 100R 1% 1/10W 0603,1,R30
21,RC0603JR-071ML,Yageo,Resistor,1M,RES SMD 1M OHM 5% 1/10W 0603,2,"R11,R45"
22,RC0603FR-07200RL,Yageo,Resistor,200,RES 200R 1% 1/10W 0603,1,R40
23,RC0603FR-0749R9L,Yageo,Resistor,49.9,RES 49R9 1% 1/10W 0603,1,R39
